20230731	19:28:23	978b312d-20cb-4bc6-9827-e6337f0b1c15	GET	undefined	/api/question/questions
20230731	19:29:26	817ad248-eb57-4a51-98ed-17a2f12ddb4a	GET	undefined	/api/question/questions
20230731	19:35:08	46e3eaa8-d4f6-4da7-a94d-115c4f473cf0	GET	undefined	/api/question/questions
20230731	19:35:26	265e7284-e384-42f2-bc6f-13764e794687	GET	undefined	/api/question/questions/1
20230731	19:35:32	fc7a0ae4-1f15-46c6-869b-7763d5310d90	GET	undefined	/api/question/questions/1
20230731	19:35:46	8cfdb671-a17b-4c2b-b920-b8fd2dc07ca9	GET	undefined	/api/question/questions/1
20230731	19:40:06	998ee6c7-b5f2-47d0-b28c-f97991904b7d	GET	undefined	/api/question/questions/1
20230731	19:40:26	7c5f1acb-2853-4e95-b6da-d8d9d799b91d	DELETE	undefined	/api/question/questions/1
20230731	19:40:48	4ee91d1c-e119-4285-aa4b-8e4870b6bef1	DELETE	undefined	/api/question/questions/1
20230731	19:43:44	0f2b0dbb-84ab-4bb4-ad1c-dff800b406dd	POST	undefined	/api/question/question
20230731	19:43:51	e48fd46d-8d5b-4e74-9f4f-0793d58ddafd	POST	undefined	/api/question/question
20230731	19:44:26	e46f01bd-401d-455e-921a-4428b6c34fcc	POST	undefined	/api/question/question
20230731	19:45:43	44f2f148-fc29-4984-9b99-622ba1df1b55	POST	undefined	/api/question/question
20230731	19:52:50	e618e6a5-bf49-4d1d-90b3-2a2b115a20e2	GET	undefined	/api/question/questions
20230731	19:53:13	3d171e2d-4917-4404-ba7f-f8bd2fa4ce97	GET	undefined	/api/discipline/disciplines
20230731	19:53:18	de9c1ca8-c634-47d2-93d7-be3b80ec2ac5	GET	undefined	/api/discipline/disciplines
20230731	19:54:07	f01372e0-c5de-4f5c-9116-f6ab2e3c3b89	GET	undefined	/api/discipline/disciplines
20230731	19:54:31	fc7fe670-3632-4d63-8152-4c9fde20c66f	GET	undefined	/api/discipline/disciplines/1
20230731	19:55:12	13f3bbe4-1b07-4c51-b97c-a88b60070e8b	GET	undefined	/api/discipline/disciplines/1
20230731	19:55:43	bc900f57-bba2-4db5-a191-5543bad6a35f	GET	undefined	/api/discipline/disciplines/1
20230731	19:58:12	27bc4c75-b054-45e9-b664-032456609417	POST	undefined	/api/discipline/discipline
20230731	19:58:20	64ae156d-8dd0-492e-9b01-74840a4fdbbb	POST	undefined	/api/discipline/discipline
20230731	19:58:47	c83acff1-2238-41eb-8a2d-9f7f2e8982e5	DELETE	undefined	/api/discipline/disciplines/1
20230731	19:58:53	97c0b2a4-c8b7-47d3-8705-6966bbd7eb68	DELETE	undefined	/api/discipline/disciplines/1
20230731	19:59:42	be53ed7c-b0e9-46c7-8612-50b539eef011	DELETE	undefined	/api/discipline/disciplines/1
20230731	20:07:27	2ce11b61-673f-49e5-a004-744fdf9dafea	DELETE	undefined	/api/discipline/disciplines/1
20230731	20:07:39	3c954f4b-9132-4408-a4a0-30c62a2e762a	GET	undefined	/api/discipline/disciplines
20230731	20:11:44	b7e809fb-d74d-45e3-861c-5403c3c18403	POST	undefined	/api/question/question
20230731	20:11:56	28d0521b-c9e0-45df-9710-5b6a3b700cd3	POST	undefined	/api/question/question
20230731	20:14:05	d4ef6293-ea6f-4d17-b183-3b58f8f5e813	POST	undefined	/api/question/question
20230731	20:17:09	84e6e7e2-a886-4d8d-aa85-b9b718a88367	POST	undefined	/api/question/question
20230731	20:18:06	6b491b79-5cf7-4ddf-bc2f-427bf9a2b1f3	POST	undefined	/api/question/question
